鄉鎮市區,交易標的,土地移轉總面積(平方公尺),使用分區或編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
左營區,房地(土地+建物)+車位,30.65,住,1050226,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,960410,236.13,4,2,2,有,有,有,29000,123,坡道平面,23.24,0,一戶，兩個門牌
鼓山區,建物,0,住,1050325,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,600213,65.02,3,2,1,有,無,有,10000,154,無,0,0,
苓雅區,房地(土地+建物),9.06,商,1050324,土地1建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,1030127,97.06,2,2,1,有,無,有,22700,234,無,0,0,
三民區,房地(土地+建物),25.49,商,1050324,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),,741011,107.92,3,1,2,有,無,無,17000,158,無,0,0,為公寓1+夾層店面；1樓做營業(店面)使用
鳳山區,房地(土地+建物),107,住,1050324,土地1建物1車位0,一層,3,店面(店鋪),住商用,611112,218.54,0,0,0,無,無,無,10000,46,無,0,0,
苓雅區,建物,0,商,1050315,土地0建物1車位0,二層,12,辦公商業大樓,,781215,270.13,0,0,0,無,有,無,18000,67,無,0,0,105.05.01~108.04.30 每月18000元108.05.01~110.04.30 每月19000元
苓雅區,建物,0,商,1050315,土地0建物1車位0,二層,12,辦公商業大樓,,781215,231.7,0,0,0,無,有,無,15000,65,無,0,0,105.05.01~108.04.30 每月15000元108.05.01~110.04.30 每月15650元
苓雅區,房地(土地+建物),4.01,商,1050301,土地1建物1車位0,四層,35,住宅大樓(11層含以上有電梯),住家用,860421,94,2,2,1,有,有,有,10000,106,無,0,0,
新興區,建物,0,商,1050324,土地0建物1車位0,九層,10,辦公商業大樓,,651124,39.17,0,0,0,無,有,無,6500,166,無,0,0,
前鎮區,房地(土地+建物),5.94,商,1050310,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,1000125,76.97,1,1,1,有,無,有,20000,260,無,0,0,
